name,score,type,episodes,ranking,duration,PG_13,R,PG,R_plus,G,manga,book,music,game,other,original
Divergence Eve,5.93,TV,13,8440,24,0,0,0,1,0,0,0,0,0,0,1
Divergence Eve 2: Misaki Chronicles,6.3,TV,13,6880,24,1,0,0,0,0,0,0,0,0,0,1
Dragon Drive,6.73,TV,38,4761,25,0,0,1,0,0,1,0,0,0,0,0
Grenadier: Hohoemi no Senshi,6.72,TV,12,4815,25,1,0,0,0,0,1,0,0,0,0,0
.hack//Tasogare no Udewa Densetsu,6.6,TV,12,5343,23,1,0,0,0,0,1,0,0,0,0,0
.hack//Liminality,6.61,OVA,4,5332,33,1,0,0,0,0,0,0,0,0,0,1
3x3 Eyes,6.77,OVA,4,4559,30,0,1,0,0,0,1,0,0,0,0,0
Cinderella Boy,6.32,TV,13,6755,25,1,0,0,0,0,1,0,0,0,0,0
Mirai Shounen Conan,8.09,TV,26,428,29,1,0,0,0,0,0,1,0,0,0,0
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,TV,48,3934,7,0,0,0,0,1,1,0,0,0,0,0
Abashiri Ikka,5.39,OVA,4,9929,18,0,0,0,1,0,1,0,0,0,0,0
Abenobashi Mahou☆Shoutengai,7.26,TV,13,2514,24,0,0,0,1,0,0,0,0,0,0,1
Kerokko Demetan,6.01,TV,39,8189,24,0,0,1,0,0,0,0,0,0,0,0
Zettai Shounen,6.94,TV,26,3869,25,1,0,0,0,0,0,0,0,0,0,1
Akahori Gedou Hour Rabuge,6.16,TV,13,7523,24,1,0,0,0,0,0,0,0,0,0,1
"Chiisana Obake: Acchi, Kocchi, Socchi",5.98,TV,50,8281,25,0,0,0,0,1,0,1,0,0,0,0
Ace wo Nerae!,7.02,TV,26,3550,24,1,0,0,0,0,1,0,0,0,0,0
Ace wo Nerae!: Final Stage,6.52,OVA,12,5756,24,1,0,0,0,0,0,0,0,0,0,0
Ace wo Nerae! 2,6.87,OVA,13,4155,24,1,0,0,0,0,1,0,0,0,0,0
Hand Maid May,6.73,TV,10,4768,23,1,0,0,0,0,0,0,0,0,0,1
Happy World!,6.02,OVA,3,8150,30,0,0,0,1,0,1,0,0,0,0,0
Najica Dengeki Sakusen,6,TV,12,8229,23,0,0,0,1,0,0,0,0,0,0,1
Paradise Kiss,7.83,TV,12,769,24,0,1,0,0,0,1,0,0,0,0,0
Mousou Dairinin,7.68,TV,13,1085,24,0,0,0,1,0,0,0,0,0,0,1
Kidou Keisatsu Patlabor: On Television,7.69,TV,47,1063,25,1,0,0,0,0,0,0,0,0,0,1
Peach Girl,7,TV,25,3650,24,1,0,0,0,0,1,0,0,0,0,0
Petshop of Horrors,7.27,TV,4,2492,22,0,1,0,0,0,1,0,0,0,0,0
Puchi Pri*Yucie,7.42,TV,26,1819,25,0,0,0,0,1,0,0,0,0,0,1
Piano (TV),6.02,TV,10,8155,24,0,0,0,0,1,0,0,0,0,0,1
Planetes,8.31,TV,26,219,25,1,0,0,0,0,1,0,0,0,0,0
Midori no Hibi,7.28,TV,13,2430,24,0,0,0,1,0,1,0,0,0,0,0
Mahoujin Guruguru,7.61,TV,45,1256,23,0,0,0,0,1,1,0,0,0,0,0
Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,TV,38,2814,23,0,0,0,0,1,1,0,0,0,0,0
Mama wa Shougaku 4 Nensei,7.21,TV,51,2749,24,0,0,1,0,0,0,0,0,0,0,1
Marmalade Boy,7.49,TV,76,1621,24,1,0,0,0,0,1,0,0,0,0,0
Matantei Loki Ragnarok,7.29,TV,26,2400,24,1,0,0,0,0,1,0,0,0,0,0
Ginyuu Mokushiroku Meine Liebe,6.46,TV,13,6117,24,1,0,0,0,0,0,1,0,0,0,0
Psychic Academy,6.24,TV,24,7178,11,1,0,0,0,0,1,0,0,0,0,0
Versailles no Bara,8.33,TV,40,206,24,1,0,0,0,0,1,0,0,0,0,0
Serial Experiments Lain,8.03,TV,13,509,23,0,1,0,0,0,0,0,0,0,0,1
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,TV,26,1324,23,1,0,0,0,0,1,0,0,0,0,0
